#|frequency	|flux	|
102.914473423	0.000602890737355	
102.912520087	0.000854196667206	
102.910566751	0.00143021764234	
102.908613415	0.00120664283168	
102.906660079	0.00123571511358	
102.904706743	0.00034577344195	
102.902753407	-0.000649229798	
102.900800071	0.000461799878394	
102.898846735	0.000359500787454	
102.896893399	-3.05122762256e-06	
102.894940063	0.000274861464277	
102.892986727	6.30788126728e-05	
102.891033391	0.000947036023717	
102.889080055	1.98011348402e-05	
102.887126719	-0.000380265992135	
102.885173383	-0.000267734198133	
102.883220047	1.27430912471e-05	
102.881266711	-0.000125097489217	
102.879313375	0.000425764272222	
102.877360039	-4.29833162343e-05	
102.875406703	-0.000876677804627	
102.873453367	-0.00112206663471	
102.871500031	-0.00104968843516	
102.869546695	-0.000731403939426	
102.867593359	-0.000202294671908	
102.865640023	-0.000333196017891	
102.863686687	1.26295299196e-05	
102.861733351	-3.67992543033e-05	
102.859780015	-8.30265271361e-05	
102.857826679	-0.000870189163834	
102.855873343	-0.00106351799332	
102.853920007	-0.000182788891834	
102.851966671	-0.000494449399412	
102.850013335	-0.000295631412882	
102.848059999	0.000530868710484	
102.846106663	0.000257136911387	
102.844153327	0.000236932741245	
102.842199991	-0.000134827248985	
102.840246655	-0.000264671863988	
102.838293319	0.000171623090864	
102.836339983	0.00017890323943	
102.834386647	-0.000544221315067	
102.832433311	-0.000395234528696	
102.830479975	-0.000152350403368	
102.828526639	-0.00024215655867	
102.826573303	0.000356250384357	
102.824619967	-0.00023217148555	
102.822666631	-0.00043394631939	
102.820713295	7.45209181332e-05	
102.818759959	0.000684221740812	
102.816806623	0.00036394232302	
102.814853287	0.000781909679063	
102.812899951	0.000792037288193	
102.810946615	0.000627306231763	
102.808993279	0.00126944412477	
102.807039943	0.000234743769397	
102.805086607	-0.00018858826661	
102.803133271	-0.000142095566844	
102.801179935	-0.000261845387286	
102.799226599	-0.000236444611801	
102.797273263	0.000154837223818	
102.795319927	-0.000343512394466	
102.793366591	-0.000170848230482	
102.791413255	-0.000507986580487	
102.789459919	0.000361541955499	
102.787506583	0.000791054102592	
102.785553247	0.000125677514006	
102.783599911	0.000172362764715	
102.781646575	-2.21166442316e-06	
102.779693239	-8.80409206729e-05	
102.777739903	0.00012675121252	
102.775786567	-0.000467872974696	
102.773833231	0.000769831473008	
102.771879895	7.80073605711e-05	
102.769926559	-0.000369204179151	
102.767973223	9.25596541492e-05	
102.766019887	0.000228620701819	
102.764066551	0.000468177109724	
102.762113215	-0.000300151557894	
102.760159879	-0.00105088821147	
102.758206543	-0.000642478640657	
102.756253207	-0.000349474634277	
102.754299871	-0.000394395639887	
102.752346535	-0.000626218155958	
102.750393199	-0.00109147455078	
102.748439863	-0.00121851987205	
102.746486527	-0.000434090063209	
102.744533191	1.4408122297e-05	
102.742579855	-0.000631634611636	
102.740626519	-0.000274092220934	
102.738673183	-0.0003474066325	
102.736719847	2.13644052565e-05	
102.734766511	-6.81902820361e-05	
102.732813175	0.000562488683499	
102.730859839	-0.000766950426623	
102.728906503	-4.17425580963e-05	
102.726953167	-0.000104759681562	
102.724999831	0.000701984448824	
102.723046495	0.000561343680602	
102.721093159	0.000676385650877	
102.719139823	2.27563486987e-05	
102.717186487	0.000378610973712	
102.715233151	0.000524058821611	
102.713279815	0.000355612748535	
102.711326479	0.00051312969299	
102.709373143	0.000345029780874	
102.707419807	0.000210872996831	
102.705466471	-0.000482912932057	
102.703513135	-0.000974913709797	
102.701559799	0.000242618712946	
102.699606463	-0.00067777564982	
102.697653127	-6.65290499455e-05	
102.695699791	0.00037970134872	
102.693746455	-0.000394717790186	
102.691793119	-0.000138740622788	
102.689839783	-0.000462359021185	
102.687886447	0.000332126452122	
102.685933111	-0.000495680666063	
102.683979775	-0.000964051636402	
102.682026439	-0.000628955196589	
102.680073103	-0.0009149920661	
102.678119767	-0.000111006032967	
102.676166431	-0.00026105256984	
102.674213095	-2.39606324612e-05	
102.672259759	-0.000779698893894	
102.670306423	-0.000338404468494	
102.668353087	0.000137636903673	
102.666399751	0.000359474885045	
102.664446415	0.000851315853652	
102.662493079	0.000162870172062	
102.660539743	8.15702369437e-05	
102.658586407	-0.000369809567928	
102.656633071	-0.000572603661567	
102.654679735	0.000133736844873	
102.652726399	0.00085001491243	
102.650773063	-0.000664588471409	
102.648819727	0.000632029259577	
102.646866391	-0.000661207421217	
102.644913055	-8.15784660517e-05	
102.642959719	-7.96309905127e-05	
102.641006383	-0.000698839954566	
102.639053047	-0.000349235022441	
102.637099711	0.000362374470569	
102.635146375	-0.000210864222026	
102.633193039	-0.000764194293879	
102.631239703	-0.00099974940531	
102.629286367	0.000165714911418	
102.627333031	0.000381043646485	
102.625379695	6.16777761024e-05	
102.623426359	-0.000284023495624	
102.621473023	1.23520931083e-05	
102.619519687	0.000562917499337	
102.617566351	0.000327484944137	
102.615613015	0.000180170405656	
102.613659679	-0.00056360923918	
102.611706343	-0.000186733144801	
102.609753007	-0.000527830561623	
102.607799671	-0.000339982827427	
102.605846335	-0.00017742208729	
102.603892999	-7.84326402936e-05	
102.601939663	0.000466884463094	
102.599986327	-0.000329137867084	
102.598032991	-0.00052367238095	
102.596079655	-2.53435209743e-05	
102.594126319	0.000730200204998	
102.592172983	0.000234270788496	
102.590219647	-0.000318022881402	
102.588266311	0.000162595053553	
102.586312975	-7.54280481488e-05	
102.584359639	-0.000574782316107	
